trial;D1;D2;D3;D4;D5;D7;D8;D9;D10;D11;D14;D16;D17;D18ok;D19;D20;D21
1;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B
2;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
3;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
4;A;A;A;B;A;A;A;A;A;A;A;B;A;A;A;A;B
5;B;B;A;A;A;A;B;A;B;B;B;A;B;A;B;A;A
6;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
7;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
8;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
9;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
10;A;B;A;B;A;B;B;A;B;B;B;B;B;B;B;A;B
11;B;A;B;A;A;A;B;A;A;B;A;A;A;A;A;A;A
12;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
13;A;B;A;A;A;A;A;A;B;A;B;A;B;B;B;A;A
14;B;A;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A
15;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A
16;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B
17;A;B;B;B;A;A;B;A;A;B;A;B;A;A;A;B;B
18;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A
19;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
20;B;A;B;A;B;B;A;A;B;B;B;B;B;B;A;A;A
21;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A
22;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
23;B;B;A;B;A;B;A;B;B;A;A;A;B;B;B;A;A
24;B;B;A;B;B;A;B;B;B;B;A;B;A;A;B;A;A
25;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
26;B;B;B;B;A;B;B;B;B;B;B;A;B;B;A;B;A
27;B;A;B;B;A;A;B;A;A;B;B;A;A;A;A;A;A
28;B;B;B;A;A;A;B;A;A;A;B;B;B;B;B;B;B
29;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
30;A;B;A;B;A;A;A;A;B;A;B;B;B;B;B;B;B
31;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A
32;A;B;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A
33;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
34;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A
35;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B
36;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
37;A;A;A;A;A;B;A;A;A;A;A;A;A;B;A;A;A
38;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A
39;B;A;B;A;A;B;A;B;A;B;A;A;A;A;A;A;A
40;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
41;B;A;B;A;A;B;A;A;B;A;A;B;A;B;A;B;A
42;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
43;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A
44;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B
45;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B
46;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A
47;A;B;B;A;B;B;B;B;B;B;A;A;A;B;B;A;A
48;B;A;B;A;B;B;B;B;A;B;A;A;A;B;A;B;A
