trial;D1;D2;D3;D4;D5;D7;D8;D9;D10;D11;D14;D16;D17;D18ok;D19;D20;D21
1;3;4;5;4;4;3;6;6;6;5;5;3;6;4;6;6;6
2;3;2;5;2;3;3;2;1;2;3;5;3;4;3;3;3;6
3;2;4;6;4;5;4;4;3;2;4;5;5;6;4;5;4;5
4;2;6;5;5;6;4;6;5;5;5;6;6;5;5;6;6;6
5;3;6;6;5;6;6;6;2;6;4;6;6;6;6;6;6;6
6;2;3;5;3;3;3;2;1;2;2;3;3;5;3;3;3;3
7;3;3;6;3;3;3;2;2;2;2;3;4;5;4;4;3;3
8;3;6;6;5;6;4;4;6;6;4;6;6;6;6;6;4;6
9;3;3;4;3;3;2;2;2;2;2;3;3;5;3;4;3;3
10;2;6;5;6;5;4;6;2;5;4;6;6;6;6;6;5;6
11;3;6;4;6;6;6;6;6;6;4;6;6;6;6;6;6;5
12;3;6;4;6;5;5;5;5;5;4;6;5;6;5;6;5;6
13;2;6;4;3;4;4;6;4;6;4;6;4;6;6;6;4;5
14;3;6;4;6;6;4;6;4;6;4;5;6;6;4;6;6;5
15;2;5;4;5;4;5;5;2;5;4;6;5;6;5;6;4;5
16;3;6;4;6;5;4;4;4;4;4;4;4;6;6;6;4;4
17;2;6;6;6;3;6;6;5;6;3;6;6;6;6;6;3;6
18;2;3;4;6;3;3;2;2;3;3;3;4;4;5;4;3;5
19;2;4;4;4;3;4;2;4;4;2;3;6;5;4;6;3;4
20;3;6;5;6;5;6;6;4;6;5;6;6;6;5;6;6;6
21;2;6;5;6;4;6;6;3;6;4;6;6;6;5;6;5;5
22;3;5;4;5;3;4;3;3;5;3;4;4;6;5;6;4;4
23;3;6;5;6;5;6;6;6;6;4;4;5;6;6;6;5;6
24;3;6;6;6;6;6;6;4;5;3;6;6;6;5;6;6;6
25;3;3;5;5;3;3;2;2;3;3;3;5;4;3;5;3;3
26;3;5;6;6;5;5;6;5;5;5;6;6;6;6;6;6;6
27;3;6;6;6;6;6;6;6;6;5;3;6;6;6;6;6;6
28;3;6;6;6;5;6;6;4;6;4;6;6;6;5;5;6;6
29;2;3;4;3;3;3;2;2;3;3;2;5;5;3;5;3;5
30;2;6;6;6;4;6;6;2;6;4;6;6;6;6;6;6;6
31;3;6;5;6;5;4;6;4;6;4;6;4;5;5;6;6;6
32;2;6;6;6;4;5;6;4;6;4;6;6;6;6;6;6;6
33;3;3;3;4;3;3;2;2;3;3;3;6;4;6;6;3;4
34;3;6;4;6;4;4;6;3;6;4;4;6;6;5;6;6;6
35;3;2;3;3;3;3;2;0;2;3;3;5;4;4;5;3;5
36;2;5;4;5;4;4;5;4;5;4;5;5;5;5;5;6;6
37;2;6;4;4;4;6;6;6;6;4;6;6;6;5;5;6;5
38;2;2;4;6;3;2;2;2;3;3;3;6;5;4;6;4;6
39;3;6;5;6;4;4;6;2;6;5;5;6;6;4;6;6;6
40;3;6;4;6;4;6;4;4;6;4;6;6;6;6;6;4;6
41;3;6;5;6;6;3;6;3;6;4;6;6;6;5;6;5;6
42;2;2;5;4;3;2;2;2;2;3;2;5;4;5;5;3;6
43;2;0;5;5;4;3;4;4;4;4;5;5;5;4;5;6;6
44;3;4;4;6;4;4;4;2;4;4;6;5;6;1;5;6;6
45;3;4;5;6;4;6;5;5;5;4;5;5;6;5;5;5;6
46;2;3;4;5;3;3;3;3;3;3;4;5;6;4;5;4;5
47;2;6;4;6;4;3;6;3;6;4;4;6;6;5;6;6;6
48;3;6;4;6;4;5;6;4;6;4;5;6;6;4;6;6;6
