;TTB_Pred_afterSwitch;WADD_Pred_afterSwitch;trial discrimintes;A;c1;c2;c3;c4;c5;c6;B;c1;c2;c3;c4;c5;c6
1;2;2;0;;1;0;1;0;1;0;;1;1;1;0;0;0
2;2;2;0;;0;0;0;1;0;1;;1;1;1;0;1;0
3;1;1;0;;0;0;1;1;1;1;;0;0;0;0;1;1
4;2;1;1;;0;1;0;1;1;0;;1;0;0;1;0;0
5;1;1;0;;1;0;0;0;1;1;;0;0;1;1;0;1
6;1;1;0;;1;1;1;0;1;0;;0;0;0;1;0;1
7;2;2;0;;0;0;0;0;1;1;;1;1;1;0;1;1
8;2;2;0;;0;1;0;0;1;0;;1;0;0;1;0;0
9;2;2;0;;0;0;0;1;0;1;;1;1;1;0;0;0
10;1;2;1;;1;1;0;0;1;0;;1;0;1;1;0;1
11;2;1;1;;0;0;0;1;1;1;;0;1;0;1;0;0
12;2;2;0;;0;0;0;0;0;1;;0;1;0;0;1;1
13;1;2;1;;1;0;1;1;0;0;;0;1;1;0;1;1
14;2;2;0;;0;0;1;0;1;1;;1;0;0;1;0;1
15;1;1;0;;1;0;0;1;1;1;;0;0;1;0;0;1
16;2;2;0;;1;0;0;0;0;1;;1;1;0;1;0;0
17;2;1;1;;0;1;0;1;1;0;;0;1;1;0;0;1
18;1;1;0;;1;1;1;0;0;1;;0;0;0;1;1;0
19;1;1;0;;1;1;0;1;0;0;;0;0;0;0;1;0
20;1;2;1;;1;0;0;1;0;1;;0;1;1;0;1;0
21;2;1;1;;0;1;1;1;1;1;;1;1;0;0;1;0
22;2;2;0;;0;0;0;1;0;0;;1;0;1;1;1;1
23;1;2;1;;1;1;0;0;0;0;;0;1;0;1;0;1
24;1;2;1;;1;0;0;1;1;1;;0;1;1;1;1;0
25;2;2;0;;0;0;0;1;0;1;;1;1;1;0;0;0
26;1;2;1;;1;0;0;1;0;0;;0;1;0;1;1;0
27;2;1;1;;0;1;0;1;0;1;;1;1;0;0;0;0
28;2;2;0;;0;0;1;1;0;1;;1;0;0;0;1;1
29;2;2;0;;1;1;1;0;1;0;;0;0;0;1;0;1
30;1;2;1;;0;1;0;1;0;0;;0;0;0;1;1;1
31;2;1;1;;0;1;1;1;1;1;;1;1;0;0;1;0
32;1;1;0;;1;0;0;1;0;0;;0;1;0;0;1;0
33;2;2;0;;0;0;0;1;1;0;;1;1;1;0;0;1
34;1;2;1;;0;1;1;1;0;1;;0;1;0;1;1;0
35;2;2;0;;0;0;0;0;1;1;;1;1;1;0;1;1
36;1;1;0;;1;0;0;1;1;1;;0;0;1;0;0;1
37;1;1;0;;1;1;1;0;0;0;;1;0;1;0;1;0
38;1;1;0;;1;1;0;1;0;0;;0;0;0;0;1;0
39;2;1;1;;1;0;1;1;0;1;;1;1;0;0;1;0
40;2;2;1;;0;0;1;0;1;1;;1;0;0;1;0;1
41;1;2;1;;1;0;0;1;0;1;;0;1;1;0;1;0
42;1;1;0;;1;1;1;0;1;0;;0;0;0;1;0;1
43;1;1;0;;0;0;1;1;1;1;;0;0;0;0;1;1
44;2;2;0;;1;0;0;0;0;1;;1;1;0;1;0;0
45;2;2;0;;0;0;0;0;0;1;;0;1;0;0;1;1
46;1;1;0;;1;0;1;1;1;1;;0;0;0;1;0;0
47;1;2;1;;1;0;0;1;1;1;;0;1;1;1;1;0
48;2;1;1;;0;1;1;0;1;1;;1;0;1;1;0;0
